subject_id,topic_id,question_type,question,marks,time_to_spend,difficulty_level,hint,explanation,total_answers,correct_answer,answer1,answer2,answer3,answer4,answer5
,,," Studies last year concluded coffee drinking had little, if any, effect on the risk of pancreatic or kidney cancer. A study of 59,000 women in Sweden found no link between caffeine and kidney cancer. Another review suggested that those who drink coffee have half the risk of pancreatic cancer.Which of the following statements, if true, would weaken the conclusion drawn above? ",,,,,,5,4,"The study is done in cold countries only, countries in arid and semi-arid regions are not considered under this study.",Indians drink more coffee than the Swedish do.,The caffeine content is different in different varieties of coffee.,Intake of 15 ml to 30 mi of milk per day offsets the negative effects of caffeine. The study did not consider the milk intake.,None of these
,,," The cause of corruption in medical education is shortage of seats, and fewer doctors than required for the population and even fewer specialists.Which of the following can be inferred from the above? ",,,,,,5,3,Students pay bribes to the management of institutions to avail seats.,The criteria to select students to fill medical seats are flexible.,There is a set standard regarding the doctors to population ratio.,Most of the doctors are general physicians.,None of these
,,," When the tourist boat capsized, the crime branch arrested the forest department's ticket collector, Prakashan, based on the allegation that he did not check the tickets properly. But could Prakashan, who works on daily wages be the real culprit? Which of the following is not what the passage is intended to indicate? ",,,,,,5,3,Prakashan may not be the real culprit.,Prakashan has not checked the tickets properly.,Prakashan may not be the main person behind the mishap.,The police have behaved irresponsibly.,None of these
,,," We, at Comfort Stationers, have always been striving to provide stationery items that would make your work more enjoyable and less strenuous. Our latest innovations are a smooth-flow pen and gradual-friction paper. A combination of these two reduces strain on your fingers and allows faster writing the causes lesser fatigue. Therefore, replacement of your pen and paper with our innovative products reduces cost of clerical jobs.Which of the following, if true, would weaken the conclusion drawn in the above argument? ",,,,,,5,4,Those who are already using the above new products report greater difficulty in transition from new products to regular ones than from the regular ones to the new ones.,The cost of manufacturing these new products is not more than the cost of manufacturing the regular ones and the new products last longer than the regular ones.,The  number of offices using the new products is increasing month by month.,These products need to be purchased in huge lots and need to be stored in special conditions. The cost of procurement and strong is quite high.,It is found that children get adapted to the new products faster than grown ups.
,,, A study revealed that a major part of the accidents involving two wheelers takes place when they are being driven at speeds above 50 km.hr. It is also observed that the two wheelers are driven at this speed mostly on roads having scanty traffic.Which of the following can be concluded from the given paragraph? ,,,,,,5,4,Accidents do not take place because of heavy traffic.,It is not possible to drive two wheelers at speeds above 50 km/hr on the roads having heavy traffic.,Two wheelers drivers tend to become reckless while driving on roads having scanty traffic.,Most of the accidents involving two wheelers take place on roads having scanty traffic.,Accidents involving four wheelers also take place at speeds above 50 km/hr.
,,," The Supreme Court in its land mark judgement gave women the right to terminate their pregnancy as a constitutional right.Which of the following, if true, can go against the Supreme Court's judgement? ",,,,,,5,2,In several other countries abortion is illegal.,An unborn child should be treated as a person and every person has a fundamental right to live.,The elected representatives of one of the states rejected the proposal to make abortion illegal in a 30-70 vote.,"If a foetus can be treated as a person, an enbryo from which the foetus is formed should also be treated as a person.",None of these
,,," A salesman of cable TV, while trying to sell his product, was explaining to a perspective customer. ""Free TV channels are not really free. You end up paying heavily for the costly advertisements that support free TV channels.""Which of the following, if true, goes against the statement of the salesman? ",,,,,,5,3,Consumers who do not own a TV are the ones who spend less on purchase as compared to those who own a TV.,"At places where the reception of signals is very weak, cable TV will be able to provide a better picture quality.",Cable TV channels also have as many advertisements as free TV channels.,Those who subscribe to cable TV channels also get access to some free TV channels.,None of these
,,," The board of directors of C  C, a commercial training institute, are split over whether to continue with NDF course because the government has instructed all the government approved colleges to take admissions based on the scores obtained by the candidates in the new KJB test.Which of the following, if true, would strengthen the case for continuing with NDF course? ",,,,,,5,3,KJB test is on the similar lines as NDF.,"NDF is tougher than KDF, hence those who prepare for KJB will be able to face NDF easily.",There are many private colleges which are preferred by students to government colleges.Which still want to take admissions based on the some obtained in NDF.,The government colleges have better infrastructure than the private colleges.,None of these
,,," The Suplora, a kind of fish which is found in northern rivers, inadvertently introduced into the Southern rivers, feed on Tharanga, the species which flourish in southern rivers, the threatening the natural ecosystem of the southern rivers. To find out the extent of Suplora's spread, the fisheries department has produced a pocket size card containing a photo of Suplora and the danger posed by it. The card also gave the telephone number of the fisheries department asking the fishermen and anglers to report if they caught any Suplora.Which of the following, if true, provides most support to the prediction of the fisheries department that their action will produce the desired result? ",,,,,,5,2,The Suplora does not get attracted to the bait used by the local fishermen and anglers.,Most of the fishermen and the anglers like to preserve the flora and fauna of the southern rivers because Tharanga is very much in demand locally.,Earlier attempts to market Suplora in south fields as not many people liked the taste of Suplora.,Suplora generally feeds in the night while the fishing is done in the day.,When Suplora was introduced in a lake in the eastern sates on experimental basis it lead to extinction of local population.
,,, Many people are of the opinion that physical exercise should be made mandatory for employees to improve their efficiency at workplace.Which of the following supports the opinion expressed in the above statement? ,,,,,,5,3,It is found that work environment is a better motivating factor than monetory benefits.,"Even for the most able sportsperson, physical exercise is an essential part of practice session.",Children who do physical exercise show better academic performance than the ones who do not.,The chances of occurrences of mistakes increases if an employee is subjected to the same work for more than six months.,None of these
,,," The Indian Ministry of Defence has objected to the building of roads by Pakistan's military close to the line of actual control (LOC), a corridor of width 2 km on either side of which has been declared as no military zone under a bilateral agreement between the two countries into Indian territory. However Pakistan argues that it enables its government to develop thickly populated tribal areas tucked close to the LOC on the side of Pakistan.A. Roads built by Bangladesh government along the West Bengal state border have been effectively used by the Maoists to transport their cadre in to the forests in West Bengal and further down south.B. Prime Minister of India should take up the matter with the head of the Pakistani government.C. Terrorists cannot use these roads as these roads are well within the range of the Indian military radars. Even a slightest movement in this area can easily be detected and action can be taken very quickly.D. A large area of forest cover has to be declared to lay these roads which would reduce the cover which is essential for the terrorists to infiltrate in to the Indian side.E. These roads are being built at a distance less than 2 km from the LOC.Which of the statements A, B, C, D and E mentioned above would best represents a course of action which can be taken by the Indian government to stall the laying of roads by the Pakistani military? ",,,,,,5,2,A,B,C,D,E
,,," Read the above passage, answer the below question.Which of the statements A, B, C, D, and E mentioned above would represent an assumption implicit in the given paragraph or an inference which can be drawn from it? ",,,,,,5,2,Only C,Only E,Only B and D,Only A,Only D
,,," Read the above passage, answer the below question.Which of the statements A, B, C, D and E mentioned above would weaken the apprehensions of the Indian government? ",,,,,,5,1,Only C and D,Only A,Only B,Only E,Only D
,,," Read the above passage, answer the below question.Which of the statements A, B, C, D and E mentioned above would help to strengthen the Indian case? ",,,,,,5,1,A,B,C,D,E
,,," While expressing concern over the rapid pullout of foreign institutional investor (FII) money, the finance minister said that it is mainly due to the economic crisis in Europe and the pullout is adversely effecting the Indian stock market. FIIs said that they are in need of funds to stabilise their operations in the European markets.A. There is no lock-in period for the FII money for pullout.B. The pilled out FII money will be used by the institutions for their European operations.C. Some FII money that was pulled out was invested in the Indian stock market.D. The domestic institutional investors may also pull out of the Indian stock market.E. The FIIs do not have sufficient money to handle European crisis and also to remain invested in the Indian stock market.Which of the statements A, B, C, D and E mentioned above represents an inferences that can be drawn from the above statement? ",,,,,,5,5,A and E,B alone,C and E,D alone,E alone
,,," Read the above passage, answer the below question.Which of the statements A, B, C, D and E mentioned above is a possible effect of the FII money pullout? ",,,,,,5,4,A,B,C,D,None of these
,,," Read the above passage, answer the below question.Which of the statements A, B, C, D and E mentioned above is a conclusion of the Finance Minister that can be drawn from the above statement? ",,,,,,5,2,A,B,C,D,E
,,," Read the above passage, answer the below question.Which of the statements A, B, C, D and E mentioned above is an assumption the Finance Minister implicit in the above statement? ",,,,,,5,5,E,D,C,A,None of these
,,," By successfully replicating the results obtained a couple of months ago, particle physicists have once again proved that neutrinos travel faster than light. If the results announced two months ago shocked and stunned scientists all over the world, a sense of disbelief has set in after the team of scientists reconfirmed the results. The experiment would be conducted some more times to make sure of the correctness of the result.A. Nothing can travel faster than light.B. Albert Einstein's 1905 special theory of relativity which states that nothing can travel faster than light, may be rechecked.C. Result obtained in just one experiment is not a conclusive to overthrow a theory believed by many.D. There was an error in the result obtained in the first experiment.E. The discovery of the speed of neutrinos is an accidental discovery.Which of the statements A, B, C, D and E mentioned above represents an inference that can be drawn from the above statement? ",,,,,,5,3,A,B,C,D,E
,,," Read the above passage, answer the below question.Which of the statements A, B, C, D and E mentioned above is an assumption implicit in the above statement? ",,,,,,5,1,A,B,C,D,E
,,," Read the above passage, answer the below question.Which of the statements A, B, C, D and E mentioned above is a conclusion that can be drawn from the above statement? ",,,,,,5,5,A,B,C,D,None of these
,,," Read the above passage, answer the below question.Which of the statements A, B, C, D and E mentioned above is a possible effect of the discovery made? ",,,,,,5,2,A,B,C,D,E
,,," ""Yoga sessions should be conducted for the Indian Army personnel to keep them mentally and physically fit which in turn keeps them motivated and helps them win the local population's trust"" - A comment by the Ministry of Defence of the Government of India.A. Yoga helps in curing certain kinds of heart ailments.B. Different countries use different methods to keep their armed forces personnel motivated.C. Yoga is not part of training provided to armed forces personnel at present.D. It is found that yoga is the only way to gain physical and mental fitness.E. Animosity between the army personnel and the local people will decrease.Which of the following weakens the ministry's argument for the need of yoga sessions? ",,,,,,5,2,A,B,C,D,E
,,," Read the above passage, answer the below question.Which of the following is a possible reason that made the ministry to suggest yoga training for the army personnel? ",,,,,,5,4,A,B,C,D,E
,,," Read the above passage, answer the below question.Which of the following is a possible effect if the ministry's suggestion is implemented? ",,,,,,5,5,A,B,C,D,E
,,," Read the above Passage, answer the below question.Which of the following can be inferred from the minister's comment? ",,,,,,5,3,A,B,C,D,E
,,, The number of instances where judges have made unwanted remarks in open courts against other constitutional/ statutory bodies or persons who were not before them is increasing. There is a need to bring such behaviour of judges within the purview of judicial standards.Which of the following can be inferred/concluded from the given information? ,,,,,,5,1,There is a set of judicial standards which the judges are expected to follow.,Till now no one has set any standards for judges.,It is not desirable for the judges to pass such comments on other constitutional/ statutory bodies in their absence.,Freedom of expression cannot be exercised while in official capacity.,None of these
,,, The number of instances where judges have made unwanted remarks in open courts against other constitutional/ statutory bodies or persons who were not before them is increasing. There is a need to bring such behaviour of judges within the purview of judicial standards.Which of the following is an assumption implicit in the above passage? ,,,,,,5,3,There is a set of judicial standards which the judges are expected to follow.,Till now no one has set any standards for judges.,It is not desirable for the judges to pass such comments on other constitutional/ statutory bodies in their absence.,Freedom of expression cannot be exercised while in official capacity.,None of these
,,," It may prudent to bear with a small harm for a greater benefit. Problem arises when the harm has the power to endanger future generations. Research has consistently shown that frequent exposure X-rays can cause cells in human body to be destroyed or mutated, apart from this it can cause damage to DNA cell structure, a bane that could be passed down for generations. Doctors, unmindful of such consequences, subject the patients to exposure to X-rays, even in the cases in which it can be avoided.Which of the following is a course of action that can be pursued? ",,,,,,5,1,Doctors should not recommend X-ray treatment unless it is unavoidable.,Manufacturers should provide remote controls for X-ray machines so that doctors can operate it from a distance.,Manufacturers should incorporate such features in their machines to regulate radiation to the patients.,Patients should not go to the hospitals which use X-rays in the treatment of patients.,None of these
