subject_id,topic_id,question_type,question,marks,time_to_spend,difficulty_level,hint,explanation,total_answers,correct_answer,answer1,answer2,answer3,answer4,answer5
,,, 32   31   32   29   32   27   32,,,,,,5,1,25   32,31   32,29   32,25   30,29   30
,,, 10    34    12    31    14    28    16,,,,,,5,1,25  18,30  13,19   26,18   20,25   22
,,, 17   32   19   29   21   26   23,,,,,,5,3,25   25,20   22,23   25,25   22,27    32
,,, 11   14   14   17   17   20   20,,,,,,5,1,23   23,23   26,21   24,24   24,24   27
,,, 42   40   38   35   33    31   28,,,,,,5,3,25   22,26   23,26   24,25   23,26   22
,,, 36   31   29   24   22   17   15,,,,,,5,5,13   11,10   5,13   8,12   7,10   8
,,, 3   5   35   10   12   35   17,,,,,,5,3,22   35,35   19,19   35,19   24,22   24
,,, 7 9 66 12 14 66 17,,,,,,5,1,19 66,66 19,19 22,20 66,66 20
,,, 16  26  56  36  46  68  56,,,,,,5,3,80  66,64  82,66  80,78  68,66  82
,,, 13 29 15 26 17 23 19,,,,,,5,2,21  23,20  21,20   17,25  27,22   20
,,, 44 41 38 35 32 29 26,,,,,,5,5,24  21,22 19,23 19,29 32,23 20
,,, 6 10 14 18 22 26 30,,,,,,5,5,36 40,33 37,38 42,34 36,34 38
,,, 34 30 26 22 18 14 10,,,,,,5,4,8 6,6 4,14 18,6 2,4 0
,,, 2 44 4 41 6 38 8,,,,,,5,4,10 12,35 32,34 9,35 10,10 52
,,, 32 29 26 23 20 17 14,,,,,,5,1,11 8,12 8,11 7,32 29,10 9
,,, 14 14 26 26 38 38 50,,,,,,5,2,60 72,50 62,50 72,62 62,62 80
,,, 8 12 9 13 10 14 11,,,,,,5,2,14 11,15 12,8 15,15 19,8 5
,,, 4 7 26 10 13 20 16,,,,,,5,5,14 4,14 17,18 14,19 13,19 14
,,, 3 8 10 15 17 22 24,,,,,,5,3,26 28,29 34,29 31,26 31,26 32
,,, 17 14 14 11 11 8 8,,,,,,5,4,8 5,5 2,8 2,5 5,5 8
,,, 84 78 72 66 60 54 48,,,,,,5,2,44 34,42 36,42 32,40 34,38 32
,,, 3 8 13 18 23 28 33,,,,,,5,3,39 44,38 44,38 43,37 42,33 38
,,, 20 20 17 17 14 14 11,,,,,,5,5,8 8,11 11,11 14,8 9,11 8
,,, 18 21 25 18 29 33 18,,,,,,5,4,43 18,41 44,37 18,37 41,38 41
,,, 9 11 33 13 15 33 17,,,,,,5,1,19 33,33 35,33 19,15 33,19 21
,,, 2 8 14 20 26 32 38,,,,,,5,2,2 46,44 50,42 48,40 42,32 26
,,, 28 25 5 21 18 5 14,,,,,,5,1,11 5,10 7,11 8,5 10,10 5
,,, 9 12 11 14 13 16 15,,,,,,5,5,14 13,18 21,14 17,12 13,18 17
