subject_id,topic_id,question_type,question,marks,time_to_spend,difficulty_level,hint,explanation,total_answers,correct_answer,answer1,answer2,answer3,answer4,answer5
,,, The area of a triangle is with base 4m and height 5m?,,,,,,4,2,20 sq m,10 sq m,5 sq m,3 sq m
,,," The area of a triangle will be when a = 1m, b = 2m, c = 3m, a, b, c being lengths of respective sides.",,,,,,4,1,0 sq m,3 sq m,2 sq m,6 sq m
,,, The length of each side of an equilateral triangle having an area of 4√3 cm2 is?,,,,,,4,4,4/3 cm,3/4 cm,3 cm,4 cm
,,, The altitude of an equilateral triangle of side 2√3 cm is?,,,,,,4,4,3/2 cm,1/2 cm,3/4 cm,3 cm
,,, The base of a right triangle is 8 and hypotenuse is 10. Its area is?,,,,,,4,4,12,80,59,24
,,," The sides of a triangle are in the ratio 5: 12: 13 and its perimeter is 300 m, its area is?",,,,,,4,1,3000 sq m,3127 sq m,3225 sq m,3750 sq m
,,, What is the area of square field whose side of length 15 m?,,,,,,4,1,225 sq m,220 sq m,100 sq m,30 sq m
,,, What is the area of a square field whose diagonal of length 20 m?,,,,,,4,3,300 sq m,250 sq m,200 sq m,400 sq m
,,, What is the perimeter of a square field whose diagonal is 8√2?,,,,,,4,2,64 m,32 m,30 m,16 m
,,, The ratio of the area of a square to that of the square drawn on its diagonal is?,,,,,,4,4,2:5,3:4,3:5,1:2
,,, The perimeter of one square is 48 cm and that of another is 20 cm. Find the perimeter and the diagonal of a square which is equal in area to these twocombined?,,,,,,4,2,15√2 cm,13√2 cm,16√2 cm,17√2 cm
,,," If the perimeter of a rectangular garden is 600 m, its length when its breadth is 100 m is?",,,,,,4,3,650 m,600 m,200 m,300 m
,,, A rectangular field has area equal to 150 sq m and perimeter 50 m. Its length and breadth must be?,,,,,,4,4,"12 m, 10 m","13 m, 12 m","14 m, 11 m","15 m, 10 m"
,,, One side of a rectangular field is 4 m and its length along diagonal is 5 m. What is the area of the field?,,,,,,4,1,12 sq m,4√14 sq m,20 sq m,15 sq m
,,, A man walked 20 m to cross a rectangular field diagonally. If the length of the field is 16 cm. Find the breadth of the field is?,,,,,,4,2,11 m,12 m,13 m,14 m
,,," Sides of a rectangular park are in the ratio 3: 2 and its area is 3750 sq m, the cost of fencing it at 50 ps per meter is?",,,,,,4,3,Rs.150,Rs.100,Rs.125,Rs.175
,,," How many paying stones, each measuring 2 1/2 m * 2 m are required to pave a rectangular court yard 30 m long and 16 1/2 m board?",,,,,,4,1,99,90,95,100
,,, Find the number of square tiles to cover the floor of a room measuring 4 m * 9 m leaving 0.25 m space around the room. A side of square tile is given to be 25cms?,,,,,,4,2,425,476,450,350
,,," A rectangular farm has to be fenced one long side, one short side and the diagonal. If the cost of fencing is Rs.10 per meter. The area of farm is 1200 m2 and the short side is 30 m long. How much would the job cost?",,,,,,4,2,Rs.700,Rs.1200,Rs.1400,Rs.1500
