subject_id,topic_id,question_type,question,marks,time_to_spend,difficulty_level,hint,explanation,total_answers,correct_answer,answer1,answer2,answer3,answer4,answer5
,,, Find the compound interest and the amount on Rs.8000 at 5% per annum for 3 years when C.I is reckoned yearly?,,,,,,4,1,Rs.1261,Rs.1440,Rs.1185,Rs.1346
,,," If Rs.7500 are borrowed at C.I at the rate of 4% per annum, then after 2 years the amount to be paid is?",,,,,,4,4,Rs.8082,Rs.7800,Rs.8100,Rs.8112
,,, Find out the C.I on Rs.5000 at 4% p.a. compound half-yearly for 1 1/2 years.,,,,,,4,3,Rs.420.20,Rs.319.06,Rs.306.04,Rs.294.75
,,, Rs.8000 become Rs.9261 in a certain interval of time at the rate of 5% per annum of C.I. Find the time?,,,,,,4,4,4 years,6 years,2 years,3 years
,,, At the end of three years what will be the compound interest at the rate of 10% p.a. on an amount of Rs.20000?,,,,,,4,1,Rs.6620,Rs.6500,Rs.6800,Rs.6400
,,," Find the C.I. on a sum of Rs.1600 for 9 months at 20% per annum, interest being compounded quarterly?",,,,,,4,3,Rs.17684,Rs.1684,Rs.2522,Rs.3408
,,, Simple interest on a sum at 4% per annum for 2 years is Rs.80. The C.I. on the same sum for the same period is?,,,,,,4,1,Rs.81.60,Rs.160,Rs.1081.60,Rs.99
,,, The C.I. on a certain sum for 2 years Rs.41 and the simple interest is Rs.40. What is the rate percent?,,,,,,4,2,4%,5%,6%,8%
,,, The sum of money at compound interest amounts to thrice itself in 3 years. In how many years will it be 9 times itself?,,,,,,4,4,18,12,9,6
,,, A sum of money place at compound interest doubles itself in 4 years. In how many years will it amount to eight times itself?,,,,,,4,3,16,8,12,20
,,, A sum of money deposited at C.I. amounts to Rs.2420 in 2 years and to Rs.2662 in 3 years. Find the rate percent?,,,,,,4,2,15%,10%,7 1/2 %,8%
,,, Find the sum lend at C.I. at 5 p.c per annum will amount to Rs.441 in 2 years?,,,,,,4,2,Rs.420,Rs.400,Rs.375,Rs.380
,,, A property decreases in value every year at the rate of 6 1/4% of its value at the beginning of the year its value at the end of 3 years was Rs.21093. Findits value at the beginning of the first year?,,,,,,4,1,Rs.25600.24,Rs.32000.50,Rs.18060.36,Rs.18600
,,, Find the least number of complete years in which a sum of money put out at 25% compound interest will be more than double of itself?,,,,,,4,4,6 years,1 year,2 years,4 years
,,, The difference between simple interest and C.I. at the same rate for Rs.5000 for 2 years in Rs.72. The rate of interest is?,,,,,,4,2,10%,12%,6%,8%
,,, The difference between compound and simple interest on a certain sum of money for 3 years at 6 2/3% p.a is Rs.184. Find the sum?,,,,,,4,4,Rs.12000,Rs.14200,Rs.17520,Rs.13500
