subject_id,topic_id,question_type,question,marks,time_to_spend,difficulty_level,hint,explanation,total_answers,correct_answer,answer1,answer2,answer3,answer4,answer5
,,, What is the are of an equilateral triangle of side 16 cm?,,,,,,5,4,48√3 cm2,128√3 cm2,9.6√3 cm2,64√3 cm2,None of these
,,," If the sides of a triangle are 26 cm, 24 cm and 10 cm, what is its area?",,,,,,5,1,120 cm2,130 cm2,312 cm2,315 cm2,None of thesae
,,, The perimeter of a triangle is 28 cm and the inradius of the triangle is 2.5 cm. What is the area of the triangle?,,,,,,5,5,25 cm2,42 cm2,49 cm2,70 cm2,None of these
,,," Find the area of trapezium whose parallel sides are 20 cm and 18 cm long, and the distance between them is 15 cm.",,,,,,5,3,225 cm2,275 cm2,285 cm2,315 cm2,None of these
,,, Find the area of a parallelogram with base 24 cm and height 16 cm.,,,,,,5,2,262 cm2,384 cm2,192 cm2,131 cm2,None of these
,,, The ratio of the length and the breadth of a rectangle is 4 : 3 and the area of the rectangle is 6912 sq cm. Find the ratio of the breadth and the area of the rectangle?,,,,,,5,1,1 : 96,1 : 48,1 : 84,1 : 68,None of these
,,," The area of the square formed on the diagonal of a rectangle as its side is 108 1/3 % more than the area of the rectangle. If the perimeter of the rectangle is 28 units, find the difference between the sides of the rectangle?",,,,,,5,4,8,12,6,2,None of these
,,," The length of a rectangular plot is thrice its breadth. If the area of the rectangular plot is 867 sq m, then what is the breadth of the rectangular plot?",,,,,,5,2,8.5 m,17 m,34 m,51 m,None of these
,,," The length of a rectangular floor is more than its breadth by 200%. If Rs. 324 is required to paint the floor at the rate of Rs. 3 per sq m, then what would be the length of the floor?",,,,,,5,3,27 m,24 m,18 m,21 m,None of these
,,, An order was placed for the supply of a carpet whose breadth was 6 m and length was 1.44 times the breadth. What be the cost of a carpet whose length and breadth are 40% more and 25% more respectively than the first carpet. Given that the ratio of carpet is Rs. 45 per sq m?,,,,,,5,4,Rs. 3642.40,Rs. 3868.80,Rs. 4216.20,Rs. 4082.40,None of these
,,," What will be the cost of building a fence around a square plot with area equal to 289 sq ft, if the price per foot of building the fence is Rs. 58?",,,,,,5,1,Rs. 3944,Rs. 3828,Rs. 4176,Cannot be determined,None of these
,,, The area of a square is equal to five times the area of a rectangle of dimensions 125 cm * 64 cm. What is the perimeter of the square?,,,,,,5,2,600 cm,800 cm,400 cm,1000 cm,None of these
,,," A wire in the form of a circle of radius 3.5 m is bent in the form of a rectangule, whose length and breadth are in the ratio of 6 : 5. What is the area of the rectangle?",,,,,,5,2,60 cm2,30 cm2,45 cm2,15 cm2,None of these.
,,, The area of a square is 4096 sq cm. Find the ratio of the breadth and the length of a rectangle whose length is twice the side of the square and breadth is 24 cm less than the side of the square.,,,,,,5,5,18 : 5,7 : 16,5 : 14,5 : 32,None of these.
,,, The parameter of a square is double the perimeter of a rectangle. The area of the rectangle is 480 sq cm. Find the area of the square.,,,,,,5,4,200 sq cm,72 sq cm,162 sq cm,Cannot be determined,None of these
,,, The circumferences of two circles are 264 meters and 352 meters. Find the difference between the areas of the larger and the smaller circles.,,,,,,5,3,4192 sq m,4304 sq m,4312 sq m,4360 sq m,None of these
,,, A 25 cm wide path is to be made around a circular garden having a diameter of 4 meters. Approximate area of the path is square meters is ,,,,,,5,1,3.34,2,4.5,5.5,5
,,, The parameter of a square is equal to the perimeter of a rectangle of length 16 cm and breadth 14 cm. Find the circumference of a semicircle whose diameter is equal to the side of the square. (Round off your answer to two decimal places),,,,,,5,5,77.14 cm,47.14 cm,84.92 cm,94.94 cm,23.57 cm
,,, There are two circles of different radii. The are of a square is 784 sq cm and its side is twice the radius of the larger circle. The radius of the larger circle is seven - third that of the smaller circle. Find the circumference of the smaller circle.,,,,,,5,3,6∏ cm,8∏ cm,12∏ cm,16∏ cm,None of these.
,,, A cube of side one meter length is cut into small cubes of side 10 cm each. How many such small cubes can be obtained?,,,,,,5,3,10,100,1000,10000,None of these
,,, The dimensions of a room are 25 feet * 15 feet * 12 feet. What is the cost of white washing the four walls of the room at Rs. 5 per square feet if there is one door of dimensions 6 feet * 3 feet and three windows of dimensions 4 feet * 3 feet each?,,,,,,5,4,Rs. 4800,Rs. 3600,Rs. 3560,Rs. 4530,None of these
,,, The radius of a wheel is 22.4 cm. What is the distance covered by the wheel in making 500 resolutions.,,,,,,5,2,252 m,704 m,352 m,808 m,None of these
,,, The volumes of two cones are in the ratio 1 : 10 and the radii of the cones  are in the ratio of 1 : 2. What is the length of the wire?,,,,,,5,1,2 : 5,1 : 5,3 : 5,4 : 5,None of these
,,," A metallic sphere of radius 12 cm is melted and drawn into a wire, whose radius of cross section is 16 cm. What is the length of the wire?",,,,,,5,5,45 cm,18 cm,90 cm,180 cm,None of these
,,,  ,,,,,,5,4,1800 sq.m,2400 sq.m,3600 sq.m,7200 sq.m,None of these
,,, The ratio of the volumes of two cubes is 729 : 1331. What is the ratio of their total surface areas?,,,,,,5,1,81 : 121,9 : 11,729 : 1331,27 : 121,None of these
,,, Find the area of a rhombus whose side is 25 cm and one of the diagonals is 30 cm?,,,,,,5,5,225 sq.m,360 sq.m,720 sq.m,480 sq.m,None of these
,,," The length of a rectangle is two - fifths of the radius of a circle. The radius of the circle is equal to the side of the square, whose area is 1225 sq.units. What is the area (in sq.units) of the rectangle if the rectangle if the breadth is 10 units?",,,,,,5,1,140,156,175,214,None of these
,,, The sector of a circle has radius of 21 cm and central angle 135o. Find its perimeter?,,,,,,5,1,91.5 cm,93.5 cm,94.5 cm,92.5 cm,None of these
,,," An order was placed for the supply of a carper whose length and breadth were in the ratio of 3 : 2. Subsequently, the dimensions of the carpet were altered such that its length and breadth were in the ratio 7 : 3 but were was no change in its parameter. Find the ratio of the areas of the carpets in both the cases.",,,,,,5,2,4 : 3,8 : 7,4 : 1,6 : 5,None of these
