subject_id,topic_id,question_type,question,marks,time_to_spend,difficulty_level,hint,explanation,total_answers,correct_answer,answer1,answer2,answer3,answer4,answer5
,,," A cycle is bought for Rs.900 and sold for Rs.1080, find the gain percent?",,,,,,4,2,16 2/3%,20%,18%,25%
,,," An article is bought for Rs.675 and sold for Rs.900, find the gain percent?",,,,,,4,3,16 2/3%,30%,33 1/3%,33 1/6%
,,," An article is bought for Rs.600 and sold for Rs.500, find the loss percent?",,,,,,4,4,16 4/3%,100/3%,16%,16 2/3%
,,," The cost price of a radio is Rs.1500 and it was sold for Rs.1230, find the loss %?",,,,,,4,1,18%,9%,15%,6%
,,," A watch was sold at a loss of 10%. If it was sold for Rs.140 more, there would have been a gain of 4%. What is the cost price?",,,,,,4,1,Rs.1000,Rs.1140,Rs.860,Rs.760
,,, The sale price sarees listed for Rs.400 after successive discount is 10% and 5% is?,,,,,,4,3,Rs.357,Rs.340,Rs.342,Rs.338
,,," The list price of an article is Rs.65. A customer pays Rs.56.16 for it. He was given two successive discounts, one of them being 10%. The other discount is?",,,,,,4,2,3%,4%,5%,6%
,,," A single discount equivalent to the discount series of 20%, 10% and 5% is?",,,,,,4,3,25%,30%,31.6%,33.5%
,,," What profit percent is made by selling an article at a certain price, if by selling at 2/3rd of that price, there would be a loss of 20%?",,,,,,4,1,20%,25%,13 1/30%,12%
,,, A trader bought a car at 20% discount on its original price. He sold it at a 40% increase on the price he bought it. What percent of profit did he make on theoriginal price?,,,,,,4,3,10%,11%,12%,15%
,,," A man sells a horse for Rs.800 and loses something, if he had sold it for Rs.980, his gain would have been double the former loss. Find the cost price of thehorse?",,,,,,4,4,Rs.900,Rs.875,Rs.850,Rs.860
,,," By selling a house for Rs.45000, it was found that 1/8 of the outlay was gained, what ought the selling to price to have been in order to have lost 5 p.c?",,,,,,4,2,Rs.38750,Rs.38000,Rs.40000,Rs.42000
,,, If a man lost 4% by selling oranges at the rate of 12 a rupee at how many a rupee must he sell them to gain 44%?,,,,,,4,2,7,8,9,10
,,," By selling 150 mangoes, a fruit-seller gains the selling price of 30 mangoes. Find the gain percent?",,,,,,4,2,20%,25%,18%,30%
,,, The C.P of 10 pens is equal to the S.P of 12 pens. Find his gain % or loss%?,,,,,,4,3,16 2/3% profit,50/6% profit,16 2/3% loss,100/3% loss
,,, The C.P of 15 books is equal to the S.P of 18 books. Find his gain% or loss%?,,,,,,4,1,16 2/3% loss,100/3% loss,50/3% profit,100/3% loss
,,, By selling 12 pencils for a rupee a man loses 20%. How many for a rupee should he sell in order to gain 20%?,,,,,,4,1,8,9,12,16
,,, The cost price of 13 articles is equal to the selling price of 11 articles. Find the profit percent?,,,,,,4,2,15 5/15%,18 2/11%,16 2/3%,30%
,,, By selling 50 meters of cloth. I gain the selling price of 15 meters. Find the gain percent?,,,,,,4,4,35%,30%,40%,42 6/7%
,,," Ram sold two bicycles, each for Rs.990. If he made 10% profit on the first and 10% loss on the second, what is the total cost of both bicycles?",,,,,,4,1,Rs.2000,Rs.1980,Rs.1891,Rs.1750
,,, A tradesman by means of his false balance defrauds to the extent of 20%? in buying goods as well as by selling the goods. What percent does he gain on hisoutlay?,,,,,,4,3,20%,45%,44%,48%
,,," A dishonest dealer professes to sell goods at the cost price but uses a weight of 800 grams per kg, what is his percent?",,,,,,4,2,20%,25%,30%,15%
,,," Ram professes to sell his goods at the cost price but he made use of 900 grms instead of a kg, what is the gain percent?",,,,,,4,3,11%,11 2/9%,11 1/9%,10%
,,, A dishonest dealer professes to sell goods at the cost price but uses a false weight and gains 25%. Find his false weight age?,,,,,,4,3,700 gms,750 gms,800 gms,850 gms
,,," A man purchases 8 pens for Rs.9 and sells 9 pens for Rs.8, how much profit or loss does he make?",,,,,,4,2,20.98% profit,20.98% loss,20.89% profit,20.89% loss
,,," A reduction of 40% in the price of bananas would enable a man to obtain 64 more for Rs.40, what is reduced price per dozen?",,,,,,4,4,Rs.5,Rs.4,Rs.2,Rs.3
,,," A reduction of 25% in the price of oil enables a house wife to obtain 5kgs more for Rs.800, what is the reduced price for kg?",,,,,,4,3,Rs.20,Rs.30,Rs.40,Rs.25
,,," A reduction of 20% in the price of salt enables a lady to obtain 10kgs more for Rs.100, find the original price per kg?",,,,,,4,3,2 3/2,2 2/3,2.5,3
,,, A man buys two articles for Rs.1980 each and he gains 10% on the first and loses 10% on the next. Find his total gain or loss percent?,,,,,,4,1,1% gain,1% loss,10% loss,no gain or no loss
,,, A man sells two articles for Rs.3600 each and he gains 30% on the first and loses 30% on the next. Find his total gain or loss?,,,,,,4,1,9% loss,400,4000,324
,,, I bought two books; for Rs.480. I sold one at a loss of 15% and other at a gain of 19% and then I found each book was sold at the same price. Find the cost of the book sold at a loss?,,,,,,4,2,Rs.28,Rs.280,Rs.140,Rs.70
,,," A man buys an article and sells it at a profit of 20%. If he had bought it at 20% less and sold it for Rs.75 less, he could have gained 25%. What is the costprice?",,,,,,4,2,Rs.370,Rs.375,Rs.350,Rs.300
,,," A person bought an article and sold it at a loss of 10%. If he had bought it for 20% less and sold it for Rs.75 less, he could have gained 25%. What is the cost price?",,,,,,4,1,Rs.250,Rs.225,Rs.275,Rs.200
,,, If goods be purchased for Rs.840 and one-fourth be sold at a loss of 20% at what gain percent should the remainder be sold so as to gain 20% on the whole transaction?,,,,,,4,3,30%,33%,33 1/3%,35%
,,," Oranges are bought at 11 for a rupee and an equal number more at 9 a rupee. If these are sold at 10 for a rupee, find the loss or gain percent?",,,,,,4,3,1% gain,2% gain,1% loss,2% loss
,,, A dealer purchased an article at 3/4 of its list price and sold 50% more than the list price. Find his gain percent?,,,,,,4,3,75%,50%,100%,80%
,,, At what price must an article costing Rs.47.50 be marked in order that after deducting 5% from the list price. It may be sold at a profit of 25% on the costprice?,,,,,,4,1,Rs.62.50,Rs.72.50,Rs.75.00,Rs.80.00
,,, A trader marked the price of a car 20% above the cost price and allowed the purchaser 5% discount on the marked price there by gained Rs.8400. Find the cost price of the car?,,,,,,4,1,Rs.60000,Rs.75000,Rs.68400,Rs.78400
,,," A trader marked the price of the T.V. 30% above the cost price of the T.V. and gave the purchaser 10% discount on the marked price, thereby gaining Rs.340. Find the cost price of the T.V?",,,,,,4,2,Rs.2250,Rs.2000,Rs.2150,Rs.2200
,,, A man buys milk at a certain rate per liter and after adding water to it sells the mixture at the same rate. Find in what ration he much mix water to milk soas to gain 20% on his outlay?,,,,,,4,1,1:5,1:20,2:5,1:6
,,, A person buys an article at Rs.500. At what price should he sell the article so as to make a profit of 20%?,,,,,,4,1,Rs.600,Rs.500,Rs.250,Rs.700
,,," By selling an article at Rs.600, a profit of 25% is made. Find its cost price?",,,,,,4,4,Rs.350,Rs.400,Rs.573,Rs.480
,,," By selling an article at Rs.800, a shopkeeper makes a profit of 25%. At what price should he sell the article so as to make a loss of 25%?",,,,,,4,2,Rs.600,Rs.480,Rs.500,Rs.450
,,," A shopkeeper buys two articles for Rs.1000 each and then sells them, making 20% profit on the first article and 20% loss on second article. Find the net profit or loss percent?",,,,,,4,1,neither profit nor loss,1%,2%,3%
,,," A shopkeeper sells two articles at Rs.1000 each, making a profit of 20% on the first article and a loss of 20% on the second article. Find the net profit or loss that he makes?",,,,,,4,4,neither profit nor loss,3%,5%,4%
,,, A shopkeeper buys mangoes at the rate of 4 a rupee and sells them at 3 a rupee. Find his net profit or loss percent?,,,,,,4,3,20%,28%,33 1/3 %,35 2/7 %
,,, A dishonest dealer professes to sell his goods at Cost Price but still gets 20% profit by using a false weight. What weight does he substitute for a kilogram?,,,,,,4,2,855 1/2 grams,833 1/3 grams,833 1/2 grams,875 2/7 grams
,,," The owner of a furniture shop charges his customer 24% more than the cost price. If a customer paid Rs. 8339 for a computer table, then what was the cost price of the computer table?",,,,,,5,4,Rs. 5725,Rs. 5275,Rs. 6275,Rs. 6725,None of these
,,, A person purchased a TV set for Rs. 16000 and a DVD player for Rs. 6250. He sold both the items together for Rs. 31150. What percentage of profit did he make?,,,,,,5,3,30%,35%,40%,45%,None of these
,,, Ramu bought an old car for Rs. 42000. He spent Rs. 13000 on repairs and sold it for Rs. 64900. What is his profit percent?,,,,,,5,3,14%,16%,18%,22%,None of these
,,, A trader sells 85 meters of cloth for Rs. 8925 at the profit of Rs. 15 per metre of cloth. What is the cost price of one metre of cloth?,,,,,,5,3,Rs. 80,Rs. 85,Rs. 90,Rs. 95,None of these
,,," A shopkeeper loses 15%,if an article is sold for Rs. 102. What should be the selling price of the article to gain 20%?",,,,,,5,2,Rs. 150,Rs. 144,Rs. 138,Rs. 132,None of these
,,," If an article is sold at 19% profit instead of 12% profit, then the profit would be Rs. 105 more. What is the cost price?",,,,,,5,3,Rs. 1505,Rs. 1510,Rs. 1500,Rs. 1490,None of these
,,, Raman mixed 24 kg of butter at Rs. 150 per kg with 36 kg butter at the rate of Rs. 125 per kg. At what price per kg should he sell the mixture to make a profit of 40% in the transaction?,,,,,,5,3,Rs. 135,Rs. 162,Rs. 189,Rs. 198,None of these
,,," Vijay bought 160 shirts at the rate of Rs. 225 per shirt. The transport expenditure was Rs. 1400. He paid an octroi at the rate of Rs. 1.75 per shirt and labour charges were Rs. 320. What should be the selling price of one shirt, if he wants a profit of 20%?",,,,,,5,4,Rs. 258,Rs. 270,Rs. 277.5,Rs. 285,None of these
,,, Sreenivas sells a table to Shiva at 10% profit and Shiva sells it to Mahesh at 10% loss. At what price did Sreenivas purchase the table if Mahesh paid Rs. 2178?,,,,,,5,3,Rs. 2100,Rs. 2150,Rs. 2200,Rs. 2250,None of these
,,," If a trader sold two cars each at Rs. 325475 and gains 12% on the first and loses 12% on the second, then his profit or loss percent on the whole is?",,,,,,5,1,1.44% loss,14.4% profit,14.4% loss,0%,None of these
,,," If the cost price of 50 articles is equal to the selling price of 40 articles, then the gain or loss percent is?",,,,,,5,5,20% loss,20% profit,10% profit,25% loss,None of these
,,, A dealer purchases 15 articles for Rs. 25 and sells 12 articles for Rs. 30. Find the profit percentage?,,,,,,5,2,25%,50%,20%,5%,None of these
,,," By selling 99 pens, a trader gains the cost of 33 pens. Find his gain percentage?",,,,,,5,1,33 1/3%,50%,25%,66 2/3%,None of these
,,, A fruit vendor purchased 20 dozens of bananas at Rs. 15 per dozen. But one-fourth of the bananas were rotten and had to be thrown away. He sold two-third of the remaining bananas at Rs. 22.50 per dozen. At what price per dozen should he sell the remaining bananas to make neither a profit nor a loss?,,,,,,5,2,Rs. 20,Rs. 15,Rs. 22.50,Rs. 7.50,None of these
,,, A shopkeeper sells 20% of his stock at 10% profit ans sells the remaining at a loss of 5%. He incurred an overall loss of Rs. 400. Find the total worth of the stock?,,,,,,5,2,Rs. 25000,Rs. 20000,Rs. 15000,Rs. 22000,None of these
,,," After allowing a discount of 15% on the marked price, the selling price is Rs. 6800 for an article. If it was sold at marked price, there would have been a profit of 60%. The cost price of the article is?",,,,,,5,3,Rs. 6400,Rs. 5600,Rs. 5000,Rs. 4800,None of these
,,," The value of a machine depreciates at 20% per annum. If its present value is Rs. 1,50,000, at what price should it be sold after two years such that a profit of Rs. 24,000 is made?",,,,,,5,2,"Rs. 1,10,000","Rs. 1,20,000","Rs. 1,24,000","Rs. 1,21,000",None of these
,,, A shopkeeper sells 400 metres of cloth for Rs. 18000 at a loss of Rs.5 per metre. Find his cost price for one metre of cloth?,,,,,,5,4,Rs. 45,Rs. 40,Rs. 35,Rs. 50,None of these
,,, Ramesh purchased a refrigerator for Rs. 12500 after getting a discount of 20% on the labelled price. He spent Rs. 125 on transport and Rs. 250 on installation. At what price should it be sold so that the profit earned would be 10% if no discount was offered?,,,,,,5,4,Rs. 16500,Rs. 15525,Rs. 17000,Rs. 17600,None of these
,,, The successive discounts 20% and 15% are equal to a single discount of?,,,,,,5,3,35%,38%,32%,29%,None of these
,,, A shopkeeper purchased 70 kg of potatoes for Rs. 420 and sold the whole lot at the rate of Rs. 6.50 per kg. What will be his gain percent?,,,,,,4,3,4 1/6 %,6 1/6 %,8 1/3 %,20 %
,,, Sam purchased 20 dozens of toys at the rate of Rs. 375 per dozen. He sold each one of them at the rate of Rs. 33. What was his percentage profit?,,,,,,4,3,3.5,4.5,5.6,6.5
,,," The sale price of an article including the sales tax is Rs. 616. The rate of sales tax is 10%. If the shopkeeper has made a profit of 12%, then the cost price of the article is:",,,,,,4,1,Rs. 500,Rs. 515,Rs. 550,Rs. 600
,,, Jacob brought a scooter for a certain sum of money. He spent 10% of the cost on repairs and sold the scooter for a profit of Rs. 1100. How much did he spend on repairs if he made a profit of 20%?,,,,,,4,3,Rs. 400,Rs. 440,Rs. 500,Rs. 550
,,, The ratio of the cost price and the selling price is 4:5. The profit percent is:,,,,,,4,3,10%,20%,25%,30%
