subject_id,topic_id,question_type,question,marks,time_to_spend,difficulty_level,hint,explanation,total_answers,correct_answer,answer1,answer2,answer3,answer4,answer5
,,, Express a speed of 36 kmph in meters per second?,,,,,,4,1,10 mps,12 mps,14 mps,17 mps
,,, Express 25 mps in kmph?,,,,,,4,3,15 kmph,99 kmph,90 kmph,None
,,, The speed of a train is 90 kmph. What is the distance covered by it in 10 minutes?,,,,,,4,1,15 kmph,12 kmph,10 kmph,5 kmph
,,, A car covers a distance of 624 km in 6 ½ hours. Find its speed?,,,,,,4,1,104 kmph,140 kmph,104 mph,10.4 kmph
,,, In what time will a railway train 60 m long moving at the rate of 36 kmph pass a telegraph post on its way?,,,,,,4,4,9 sec,8 sec,7 sec,6 sec
,,, A train 240 m in length crosses a telegraph post in 16 seconds. The speed of the train is?,,,,,,4,3,50 kmph,52 kmph,54 kmph,56 kmph
,,, The speed of a car is 90 km in the first hour and 60 km in the second hour. What is the average speed of the car?,,,,,,4,2,72 kmph,75 kmph,30 kmph,80 kmph
,,," Walking with 4/5 of my usual speed, I miss the bus by 5 minutes. What is my usual time?",,,,,,4,4,35 min,30 min,25 min,20 min
,,," If a man walks to his office at ¾ of his usual rate, he reaches office 1/3 of an hour late than usual. What is his usual time to reach office?",,,,,,4,1,1 hour,2 hour,3 hour,4 hour
,,," Walking 7/6 of his usual rate, a boy reaches his school 4 min early. Find his usual time to reach the school?",,,,,,4,4,25 min,26 min,27 min,28 min
,,, Two cars cover the same distance at the speed of 60 and 64 kmps respectively. Find the distance traveled by them if the slower car takes 1 hour more than thefaster car.,,,,,,4,3,906 km,960 m,960 km,966 km
,,, A man leaves a point P at 6 a.m. and reaches the point Q at 10 a.m. another man leaves the point give at 8 a.m. and reaches the point P at 12 noon. At whattime do they meet?,,,,,,4,3,8 a.m.,8 p.m.,9 a.m.,9 p.m.
,,, A thief goes away with a SANTRO car at a speed of 40 kmph. The theft has been discovered after half an hour and the owner sets off in a bike at 50 kmph whenwill the owner over take the thief from the start?,,,,,,4,1,2 hours,2 hours 45 min,2 hours 30 min,2 hours 50 min
,,," If I walk at 3 kmph, I miss the train by 2 min, if however, I walk at 4 kmph. I reach the station 2 min before the arrival of the train. How far do I walk toreach the station?",,,,,,4,1,4/5 km,5/4 km,6/5 km,3/4 km
,,, Two trains each 250 m in length are running on the same parallel lines in opposite directions with the speed of 80 kmph and 70 kmph respectively. In what timewill they cross each other completely?,,,,,,4,3,10 sec,11 sec,12 sec,14 sec
,,," Two trains of equal length, running with the speeds of 60 and 40 kmph, take 50 seconds to cross each other while they are running in the same direction. Whattime will they take to cross each other if they are running in opposite directions?",,,,,,4,1,10 sec,9 sec,8 sec,7 sec
,,," If a train, travelling at a speed of 90 kmph, crosses a pole in 5 sec, then the length of train is?",,,,,,4,2,104 m,125 m,140 m,152 m
,,," Two trains travelling in the same direction at 40 and 22 kmph completely pass off another in 1 minute. If the length of the first train is 125 m, what is thelength of the second train?",,,,,,4,3,125 m,150 m,175 m,185 m
,,, How many seconds will a train 100 meters long take to cross a bridge 150 meters long if the speed of the train is 36 kmph?,,,,,,4,3,18,22,25,28
,,, A train 100 meters long completely crosses a 300 meters long bridge in 45 seconds. What is the speed of the train is?,,,,,,4,1,32 kmph,36 kmph,40 kmph,48 kmph
,,, A 180 meter long train crosses a man standing on the platform in 6 sec. What is the speed of the train?,,,,,,4,2,90 kmph,108 kmph,120 kmph,88 kmph
,,," Excluding stoppages, the speed of a train is 45 kmph and including stoppages it is 36 kmph. Of how many minutes does the train stop per hour?",,,,,,4,3,10 min,11 min,12 min,13 min
