subject_id,topic_id,question_type,question,marks,time_to_spend,difficulty_level,hint,explanation,total_answers,correct_answer,answer1,answer2,answer3,answer4,answer5
,,, His ----------- in his family’s position is great but he does not boast about it.,,,,,,4,1,status,pride,deceit,presumption
,,, Everyone in this universe is accountable to God ----------- his actions.,,,,,,4,3,about,against,for,of
,,, Prasanna got the company car for a ----------- price as he was the seniormost employee in the company.,,,,,,4,2,reduced,nominal,fixed,discounted
,,, The opposition parties allege that prices of essential commodities are ----------- like a runaway ballon.,,,,,,4,1,soaring,reviving,flying,leaping
,,, It was through the Second World War that Russia ----------- herself increased ----------- in power and wealth and prestige.,,,,,,4,3,"saw, abundantly","notice, gullibly",witnessed prodigiously,None of these
,,," In the world of today, material values take precedence ----------- spiritual values.",,,,,,4,3,about,on,over,at
,,, He congratulated his friend ----------- the latter’s success.,,,,,,4,3,for,about,on,with
,,, Even when Murugan’s reputation was in ----------- almost everyone was willing to admit that he had genius.,,,,,,4,4,failure,rebuttal,accululation,eclipse
,,, The speaker pointed a ----------- picture of hunger in parts of India.,,,,,,4,4,chimerical,passionate,parisimonious,poignant
,,, No sooner did he me ----------- he tried to run away.,,,,,,4,2,"notice, when","see, than","observe, soon","watch, that"
,,, In the ----------- areas of the rail road terminal thousands of travellers lingered while waiting for their train.,,,,,,4,3,extensive,capacious,commodious,capricious
,,," Knowledge is like a deep well fed by ----------- springs, and your mind is the little bucket that you drop in it.",,,,,,4,1,perennial,eternal,sterling,immortal
,,, These were reduced to skeletons for they had long been ----------- for food.,,,,,,4,1,famishing,longing,snarling,craving
,,, A legislation was passed to punish brokers who ----------- their clients funds.,,,,,,4,4,devour,devastate,dawdled,embezzle
,,, We had a wonderful view of the bay through the -----------.,,,,,,4,1,window,zenith,vicinity,proximity
,,, That charming girl was the ----------- of all eyes.,,,,,,4,4,aim,target,ambition,cynosure
,,," Even more than beauty, your attracts me and with ----------- appeal.",,,,,,4,3,a delectable,a sententious,an irresistible,an ineluctable
,,, The enemy paid a large sum as -----------,,,,,,4,3,redress,amends,compensation,punishment
,,, His answer was such ----------- I expected him to gave.,,,,,,4,2,who,as,which,that
,,, She is so ----------- that she easily catches cold.,,,,,,4,3,sober,sincere,sensitive,sensible
,,, I decided to sell a piece of land when I was offered a more ----------- price.,,,,,,4,4,correct,true,exact,realistic
,,, Suganya failed in the examination because none of her answers was ----------- to the questions asked.,,,,,,4,1,pertinent,allusive,referential,revealing
